registration_number,partner_departments,subjects,title_en,title_fr,description_en,description_fr,start_date,end_date,status,profile_page_en,profile_page_fr,report_available_online,report_link_en,report_link_fr,owner_org,owner_org_title
A-002664,,EN,Recovery Strategy for the Greater Sage-Grouse (Centrocercus urophasianus urophasianus) in Canada,Programme de rétablissement du Tétras des armoises (Centrocercus urophasianus urophasianus) au Canada,Not Available,Sans objet,2013-12-20,2014-02-18,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=1458,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=1458,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002779,,EN,"Publication after screening assessment of 61 azo direct dyes and 8 azo reactive dyes specified on the Domestic Substances List (paragraphs 68(b) and 68(c) or subsection 77(1) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable de 61 colorants directs azoïques et de 8 colorants réactifs azoïques inscrits sur la Liste intérieure [alinéas 68b) et c) ou paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2014-03-29,2014-05-28,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-29/html/notice-avis-eng.php#d101,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-29/html/notice-avis-fra.php#d101,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002780,,EN,"Publication after screening assessment of a substance - 5,12-Naphthacenedione, 10-[(3-amino-2,3,6-trideoxy-a-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-, (8S-cis)- (doxorubicin), CAS RN 23214-92-8 - specified on the Domestic Substances List (paragraphs 68(b) and 68(c) of the Canadian Environmental Protection Act, 1999)","Publication après évaluation préalable d'une substance - Doxorubicine, numéro d'enregistrement CAS 23214-92-8 - inscrite sur la Liste intérieure [alinéas 68b) et 68c) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2014-03-22,2014-05-21,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-eng.php#d103_a,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-fra.php#d103_a,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002781,,EN,"Publication after screening assessment of a substance - Ethanamine, 2-[4-[(1Z)-1,2-diphenyl-1-butenyl]phenoxy]-N,N-dimethyl- (tamoxifen), CAS RN 10540-29-1 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)","Publication après évaluation préalable d'une substance - le Tamoxifène, numéro d'enregistrement CAS 10540-29-1 - inscrite sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2014-03-22,2014-05-21,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-eng.php#d102_a,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-fra.php#d102_a,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002782,,EN,"Publication after screening assessment of a substance - Furo[3?,4?:6,7]naphtho[2,3-d]-1,3-dioxol-6(5aH)-one, 9-[[4,6-O-(1R)-ethylidene-ß-D-glucopyranosyl]oxy]-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5R,5aR,8aR,9S)- (etoposide), CAS RN 33419-42-0 - specified on the Domestic Substances List (paragraphs 68(b) and 68(c) of the Canadian Environmental Protection Act, 1999)","Publication après évaluation préalable d'une substance - l'Étoposide, numéro d'enregistrement CAS 33419-42-0 - inscrite sur la Liste intérieure [alinéas 68b) et 68c) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2014-03-22,2014-05-21,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-eng.php#d101,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-fra.php#d101,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002783,,EN,"Publication after screening assessment of two substances - Cyclosporin A, CAS RN 59865-13-3, and Cyclosporin E, CAS RN 63798-73-2 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)","Publication après évaluation préalable de deux substances - Cyclosporine A, numéro d'enregistrement CAS 59865-13-3, et Cyclosporine E, numéro d'enregistrement CAS 63798-73-2 - inscrites sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2014-03-22,2014-05-21,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-eng.php#d105,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-fra.php#d105,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002708,,EN,"Order Adding Toxic Substances to Schedule 1 to the Canadian Environmental Protection Act, 1999",Décret d'inscription de substances toxiques à l'annexe 1 de la Loi canadienne sur la protection de l'environnement (1999),Not Available,Sans objet,2014-02-15,2014-04-16,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-02-15/html/reg3-eng.php,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-02-15/html/reg3-fra.php,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002784,,EN,"Publication after screening assessment of 23 substances specified on the Domestic Substances List (paragraphs 68(b) and 68(c) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable de 23 substances inscrites sur la Liste intérieure [alinéas 68b) et 68c) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2014-03-22,2014-05-21,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-eng.php#d104_a,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-03-22/html/notice-avis-fra.php#d104_a,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002728,,EN,Recovery Strategy for the Slender Popcornflower (Plagiobothrys tenellus) in Canada,Programme de rétablissement de la plagiobothryde délicate (Plagiobothrys tenellus) au Canada,Not Available,Sans objet,2014-03-12,2014-05-11,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=1713,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=1713,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002715,,EN,Recovery Strategy for the Small White Lady's-slipper (Cypripedium candidum) in Canada,Programme de rétablissement du cypripède blanc (Cypripedium candidum) au Canada,Not Available,Sans objet,2014-02-25,2014-04-26,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=1330,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=1330,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002716,,EN,Action Plan for the Forked Three-awned Grass (Aristida basiramea) in Québec,Plan d'action pour l'aristide à rameaux basilaires (Aristida basiramea) au Québec,Not Available,Sans objet,2014-02-25,2014-04-26,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=868,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=868,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002717,,EN,Action Plan for the False Hop Sedge (Carex lupuliformis) in Quebec,Plan d'action pour le carex faux-lupulina (Carex lupuliformis) au Québec,Not Available,Sans objet,2014-02-25,2014-04-26,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=1715,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=1715,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002718,,EN,Action Plan for the Victorin's Gentian (Gentianopsis virgata ssp. victorinii) in Canada,Plan d'action pour la gentiane de Victorin (Gentianopsis virgata ssp. victorinii) au Canada,Not Available,Sans objet,2014-02-25,2014-04-26,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=1307,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=1307,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002727,,EN,"Consultations on the Potential Amendments to the Environmental Emergency Regulations under the Canadian Environmental Protection Act, 1999",Consultations sur les modifications éventuelles au Règlement sur les urgences environnementales pris en application de la Loi canadienne sur la protection de l'environnement (1999),Not Available,Sans objet,2014-03-10,2014-04-14,C,http://www.ec.gc.ca/ee-ue/default.asp?lang=en&n=B2B4A2B2-1,http://www.ec.gc.ca/ee-ue/default.asp?lang=Fr&n=B2B4A2B2-1,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002706,,EN,Recovery Strategy for the Horned Lark strigata subspecies (Eremophila alpestris strigata) and Recovery Strategy for the Vesper Sparrow affinis subspecies (Pooecetes gramineus affinis) in Canada,Programme de rétablissement de l?Alouette hausse-col de la sous-espèce strigata (Eremophila alpestris strigata) et Programme de rétablissement du Bruant vespéral de la sous-espèce affinis (Pooecetes gramineus affinis) au Canada,Not Available,Sans objet,2014-02-12,2014-04-13,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=1277,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=1277,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002704,,EN,"Publication after screening assessment of a substance - Hexachloroethane, CAS (see footnote 2) RN 67-72-1 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable d'une substance - l'Hexachloroéthane (numéro d'enregistrement CAS 67-72-1) - inscrite sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2014-02-08,2014-04-09,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-02-08/html/notice-avis-eng.php#d106,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-02-08/html/notice-avis-fra.php#d106,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002705,,EN,"Publication after screening assessment of a substance - Ethylbenzene, CAS RN 100-41-4 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable d'une substance - l'Éthylbenzène (numéro d'enregistrement CAS 100-41-4) - inscrite sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2014-02-08,2014-04-09,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-02-08/html/notice-avis-eng.php#d114,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-02-08/html/notice-avis-fra.php#d114,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002665,,EN,"Recovery Strategy for the Woodland Caribou, Southern Mountain population (Rangifer tarandus caribou) in Canada",Programme de rétablissement de la population des montagnes du Sud du caribou des bois (Rangifer tarandus caribou) au Canada,Not Available,Sans objet,2014-01-17,2014-03-18,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=1309,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=1309,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002694,,EN,"Publication of results of investigations and recommendations for a substance - Ethene, CAS RN 74-85-1 - specified on the Domestic Substances List (paragraphs 68(b) and 68(c) of the Canadian Environmental Protection Act, 1999)","Publication des résultats des enquêtes et des recommandations sur une substance - l'Éthylène, numéro d'enregistrement CAS 74-85-1 - inscrite sur la Liste intérieure [alinéas 68b) et 68c) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2014-01-25,2014-03-26,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-25/html/notice-avis-eng.php#d101,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-25/html/notice-avis-fra.php#d101,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002695,,EN,"Publication after screening assessment of a substance - Phenol, 2-(2H-benzotriazol-2-yl)-4,6-bis(1,1-dimethylpropyl)- (BDTP), CAS RN 25973-55-1 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)","Publication après évaluation préalable d'une substance - le 2-(2H-Benzotriazol-2-yl)-4,6-di-tert-pentylphénol (BDTP), numéro d'enregistrement CAS 25973-55-1 - inscrite sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2014-01-25,2014-03-26,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-25/html/notice-avis-eng.php#d102,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-25/html/notice-avis-fra.php#d102,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002700,,EN,"Publication after screening assessment of a substance - Phenol, 2-(2H-benzotriazol-2-yl)-4,6-bis(1,1-dimethylpropyl)- (BDTP), CAS RN 25973-55-1 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)","Publication après évaluation préalable d'une substance - le 2-(2H-Benzotriazol-2-yl)-4,6-di-tert-pentylphénol (BDTP), numéro d'enregistrement CAS 25973-55-1 - inscrite sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2014-01-25,2014-03-26,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-25/html/notice-avis-eng.php#d102,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-25/html/notice-avis-fra.php#d102,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002701,,EN,"Publication of results of investigations and recommendations for a substance - Ethene, CAS RN 74-85-1 - specified on the Domestic Substances List (paragraphs 68(b) and 68(c) of the Canadian Environmental Protection Act, 1999)","Publication des résultats des enquêtes et des recommandations sur une substance - l'Éthylène, numéro d'enregistrement CAS 74-85-1 - inscrite sur la Liste intérieure [alinéas 68b) et 68c) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2014-01-25,2014-03-26,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-25/html/notice-avis-eng.php#d101,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-25/html/notice-avis-fra.php#d101,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002661,,EN,"Publication of final decision after screening assessment of four petroleum and refinery gases specified on the Domestic Substances List (subsection 77(6) of the Canadian Environmental Protection Act, 1999)",Publication de la décision finale après évaluation préalable de quatre gaz de pétrole et de raffinerie inscrits sur la Liste intérieure [paragraphe 77(6) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2014-01-18,2014-03-19,C,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-18/html/notice-avis-eng.php#d103,http://www.gazette.gc.ca/rp-pr/p1/2014/2014-01-18/html/notice-avis-fra.php#d103,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002662,,EN,Recovery Strategy for the Williamson's Sapsucker (Sphyrapicus thyroideus) in Canada,Programme de rétablissement du Pic de Williamson (Sphyrapicus thyroideus) au Canada,Not Available,Sans objet,2013-12-18,2014-02-16,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=1362,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=1362,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002663,,EN,Management Plan for the Climbing Prairie Rose (Rosa setigera) in Canada,Plan de gestion du rosier sétigère (Rosa setigera) au Canada,Not Available,Sans objet,2013-12-18,2014-02-16,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=2576,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=2576,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002660,,EN,Proposal for Reporting of Pollutant Releases from Hydraulic Fracturing and Solvent-Assisted in situ Bitumen Extraction to the National Pollutant Release Inventory,Proposition pour la déclaration des rejets de polluants provenant de la fracturation hydraulique et de l'extraction in situ de bitume par solvant à l'Inventaire national des rejets de polluants,Not Available,Sans objet,2014-01-09,2014-02-08,C,http://www.ec.gc.ca/inrp-npri/default.asp?lang=En&n=0755DD78-1,http://www.ec.gc.ca/inrp-npri/default.asp?lang=Fr&n=0755DD78-1,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002624,,EN,"Publication after screening assessment of a living organism- Pseudomonas fluorescens (P. fluorescens) strain ATCC 13525- specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable d'un organisme vivant -souche de Pseudomonas fluorescens (P. fluorescens) ATCC (voir référence 1) 13525- inscrit sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2013-12-07,2014-02-05,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-12-07/html/notice-avis-eng.html#d104,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-12-07/html/notice-avis-fra.html#d104,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002625,,EN,"Publication after screening assessment of living organisms - Nitrococcus sp. 16972-7 and Nitrosococcus sp. 16971-6 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable d'organismes vivants - espèce Nitrococcus 16972-7 et espèce Nitrosococcus 16971-6 - inscrits sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2013-12-07,2014-02-05,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-12-07/html/notice-avis-eng.html#d106,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-12-07/html/notice-avis-fra.html#d106,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002616,,EN,Proposed national targets for the Code of Practice for Environmental Management of Road Salts,Propositions de cibles nationales pour le Code de pratique pour la gestion environnementale des sels de voirie,Not Available,Sans objet,2013-11-26,2014-01-24,C,http://www.ec.gc.ca/lcpe-cepa/default.asp?lang=En&n=C178ACCC-1,http://www.ec.gc.ca/lcpe-cepa/default.asp?lang=Fr&n=C178ACCC-1,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002598,,EN,Invitation to Consult on the draft update to the Environmental Code of Practice for Elimination of Halocarbon Emissions from Refrigeration and Air Conditioning Systems,Invitation à consulter sur le projet de révision du Code de pratiques environnementales pour l'élimination des rejets dans l'atmosphère d'halocarbures provenant des systèmes de réfrigération et de conditionnement d'air,Not Available,Sans objet,2013-11-15,2014-01-17,C,http://www.ec.gc.ca/lcpe-cepa/default.asp?lang=En&n=0C007249-1,http://www.ec.gc.ca/lcpe-cepa/default.asp?lang=Fr&n=0C007249-1,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002597,,EN,"Notice of intent to amend the Domestic Substances List under subsection 87(3) of the Canadian Environmental Protection Act, 1999 to indicate that subsection 81(3) of that Act applies to quinoline",Avis d'intention de modifier la Liste intérieure en vertu du paragraphe 87(3) de la Loi canadienne sur la protection de l'environnement (1999) en vue d'indiquer que le paragraphe 81(3) de cette loi s'applique à la quinoléine,Not Available,Sans objet,2013-11-16,2014-01-15,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-11-16/html/notice-avis-eng.html#d105,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-11-16/html/notice-avis-fra.html#d105,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002599,,EN,"Publication after screening assessment of azo disperse dyes specified on the Domestic Substances List (paragraphs 68(b) and (c) and subsection 77(1) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable de colorants azoïques dispersés inscrits sur la Liste intérieure [alinéas 68b) et c) et paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2013-11-02,2014-01-01,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-11-02/html/notice-avis-eng.html#d105,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-11-02/html/notice-avis-fra.html#d105,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002336,,EN,Consultation on Amending the List of Species under the Species at Risk Act: Terrestrial Species - December 2012,Consultation sur la modification de la liste des espèces de la Loi sur les espèces en péril Espèces terrestres - Décembre 2012,Not Available,Sans objet,2013-01-03,2013-10-04,C,http://www.sararegistry.gc.ca/document/default_e.cfm?documentID=2437,http://www.sararegistry.gc.ca/document/default_f.cfm?documentID=2437,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002600,,EN,"Publication after screening assessment of 22 azo solvent dyes specified on the Domestic Substances List (paragraphs 68(b) and (c) and subsection 77(1) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable de 22 colorants avec solvant azoïquesinscrits sur la Liste intérieure [alinéas 68b) et c) et paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2013-11-02,2014-01-01,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-11-02/html/notice-avis-eng.html#d109,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-11-02/html/notice-avis-fra.html#d109,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002601,,EN,"Publication after screening assessment of 33 monoazo pigments specified on the Domestic Substances List (paragraphs 68(b) and (c) and subsection 77(1) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable de 33 pigments monoazoïques inscrits sur la Liste intérieure [alinéas 68b) et c) et paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2013-11-02,2014-01-01,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-11-02/html/notice-avis-eng.html#d101,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-11-02/html/notice-avis-fra.html#d101,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002606,,EN,Let's Talk Weather!,Parlons météo!,Not Available,Sans objet,2013-11-22,2013-12-20,C,http://letstalkweather.ca/,http://parlonsmeteo.ca/,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002559,,EN,"Publication of results of investigations and recommendations for a substance - Hexanedioic acid, bis(2-ethylhexyl) ester,CAS No. 103-23-1 - specified on the Domestic Substances List (paragraphs 68(b) and (c) of the Canadian Environmental Protection Act, 1999)","Publication des résultats des enquêtes et des recommandations sur une substance - l'Adipate de bis(2-éthylhexyle), numéro de CAS 103-23-1 - inscrite sur la Liste intérieure [alinéas 68b) et c) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2013-10-12,2013-12-11,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-10-12/html/notice-avis-eng.html#d101,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-10-12/html/notice-avis-fra.html#d101,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002515,,EN,Consultation Document on the Proposed Risk Management Instrument for Products Containing Polybrominated Diphenyl Ethers (PBDEs),Document de consultation sur l'instrument de gestion des risques proposé pour les produits contenant des polybromodiphényléthers (PBDE),Not Available,Sans objet,2013-09-30,2013-11-28,C,http://www.ec.gc.ca/lcpe-cepa/default.asp?lang=En&n=B8B0071B-1,http://www.ec.gc.ca/lcpe-cepa/default.asp?lang=Fr&n=B8B0071B-1,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002516,,EN,"Environment Canada's Proposal to Add Compounds to the Exclusion List of the Volatile Organic Compound (VOC) Definition under Schedule 1 of the Canadian Environmental Protection Act, 1999",Proposition d'Environnement Canada visant à ajouter des composés à la liste d'exclusion de la définition des composés organiques volatils énoncée à l'annexe 1 de la LCPE,Not Available,Sans objet,2013-09-16,2013-10-15,C,http://ec.gc.ca/lcpe-cepa/default.asp?lang=En&n=BEB1D5AB-1,http://ec.gc.ca/lcpe-cepa/default.asp?lang=Fr&n=BEB1D5AB-1,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002477,,EN,"Publication after screening assessment of a living organism - Bacillus cereus (B. cereus) strain ATCC 14579 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)",Publication après évaluation préalable d'un organisme vivant - Bacillus cereus (B. cereus) ATCC 14579 - inscrit sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)],Not Available,Sans objet,2013-07-13,2013-09-11,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-13/html/notice-avis-eng.html#d109,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-13/html/notice-avis-fra.html#d109,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002478,,EN,"Notice of intent to amend the Domestic Substances List under subsection 112(3) of the Canadian Environmental Protection Act, 1999 to indicate that subsection 106(3) of that Act applies to this living organism","Avis d'intention de modifier la Liste intérieure en vertu du paragraphe 112(3) de la Loi canadienne sur la protection de l'environnement (1999), en vue d'indiquer que le paragraphe 106(3) de cette loi s'applique à cet organisme vivant",Not Available,Sans objet,2013-07-13,2013-09-11,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-13/html/notice-avis-eng.html#d108,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-13/html/notice-avis-fra.html#d108,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002483,,EN,"Publication after screening assessment of a substance - 1-Propene (propene), CAS RN 115-07-1 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)","Publication après évaluation préalable d'une substance - le Propène, numéro d'enregistrement CAS 115-07-1 - inscrite sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2013-07-06,2013-09-04,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-06/html/notice-avis-eng.html#d104,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-06/html/notice-avis-fra.html#d104,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002484,,EN,"Publication after screening assessment of a substance - 2-Propanone (acetone), CAS RN 67-64-1 - specified on the Domestic Substances List (subsection 77(1) of the Canadian Environmental Protection Act, 1999)","Publication après évaluation préalable d'une substance -l'Acétone, numéro d'enregistrement CAS 67-64-1 - inscrite sur la Liste intérieure [paragraphe 77(1) de la Loi canadienne sur la protection de l'environnement (1999)]",Not Available,Sans objet,2013-07-06,2013-09-04,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-06/html/notice-avis-eng.html#d102,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-06/html/notice-avis-fra.html#d102,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
A-002485,,EN,"Publication of results of investigations and recommendations for a substance - 1,1'-Biphenyl (biphenyl), CAS RN 92-52-4- specified on the Domestic Substances List (paragraphs 68(b) and 68(c) of the Canadian Environmental Protection Act, 1999)","Publication des resultats des enquetes et des recommandations sur une substance ? le Biphenyle, numero d?enregistrement CAS 92-52-4 ?inscrite sur la Liste interieure [alineas 68b) et c) de la Loi canadienne sur la protection de l?environnement (1999)]",Not Available,Sans objet,2013-07-06,2013-09-04,C,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-06/html/notice-avis-eng.html#d101,http://www.gazette.gc.ca/rp-pr/p1/2013/2013-07-06/html/notice-avis-fra.html#d101,N,,,ec,Environment and Climate Change Canada | Environnement et Changement climatique Canada
